Name,Populations,Altitude,shape,DD_lat,DD_long,DMS_lat,DMS_long
Bongpyeong,BOP,719,18,37.71,128.4,"37.42'45.7""N","128.24'10.0""E"
Daegwallyung,DGR,755,16,37.68,128.74,"37.40'40.7""N","128.44'06.5""E"
Muju,MZS,862,17,35.9,127.84,"35.54'00.8""N","127.50'10.3""E"
Taebaek,TAB,775,16,37.2,128.98,"37.12.08.8""N","128.58'44.3""E"
Namwon,NWS,345,16,35.42,127.62,"35.25'14.9""N","127.37'27.5""E"
Jeongseon,JSN,386,17,37.21,128.64,"37.12'31.5""N","128.38'24.1""E"
Jecheon,JCH,326,17,36.9,128.16,"36.54'03.9""N","128.09'31.0""E"
Damyang,DMY,30,18,35.27,126.94,"35.16'12.5""N","126.56'29.0""E"
Cheongju,CHJ,57,17,36.63,127.36,"36.37'38.8""N","127.21'41.0""E"
Icheon,ICH,68,18,37.33,127.46,"37.19'48.0""N","127.27'51.3""E"
