"","Pop1","Pop2","Elevation","Latitude","Longitude","Distance","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","FST","LinFST","Pairwise"
"1","BOP","CHJ",662,1.08525,1.04139000000001,152.077158387486,2.16812432536309,2.26909849506281,1.61526043427186,1.13130270890858,1.33042704757636,2.45268110497656,2.25804191761133,1.97115936358969,2.11966119120749,2.08586619080785,2.11966119120749,1.16843317169143,2.30018281654771,0.395845114909484,1.71573845728936,2.30018281654771,0.395845114909484,2.1221921705414,0.395845114909484,0.0375877434829977,0.0390557614249727,"BOP-CHJ"
"2","BOP","DGR",36,0.0347200000000001,0.332359999999994,29.5296614410306,0.40524991041461,2.22958227209535,1.53485096927462,1.9495640395707,1.65029837712076,0.574554283854947,2.26571573390911,1.02361005647714,0.204036323076517,0.979658906442779,0.204036323076517,2.22054105117478,1.49854376025729,1.00319033109187,1.34012846610426,1.49854376025729,1.00319033109187,2.29006907217709,1.00319033109187,0.0426907481720514,0.0445945216663632,"BOP-DGR"
"3","CHJ","DGR",698,1.05053,1.37375,168.910472683751,2.5733742357777,0.0395162229674599,0.0804094649972427,0.81826133066212,2.98072542469712,1.87812682112161,0.00767381629778413,2.99476942006683,1.91562486813097,3.06552509725063,1.91562486813097,3.38897422286621,0.801639056290417,0.607345216182385,0.375609991185108,0.801639056290417,0.607345216182385,0.16787690163569,0.607345216182385,0.04603157067193,0.0482527191223219,"CHJ-DGR"
"4","BOP","DMY",701,2.44255,1.46139000000001,301.710970046295,2.2599253032726,1.22978357863998,0.679617733574889,2.87050511307107,1.36636874041128,2.70996718368915,2.58663644143389,1.71610015445496,2.68924571857039,1.69689856066872,2.68924571857039,0.117149444020818,2.8476087271758,1.24955344344345,2.8211424356235,2.8476087271758,1.24955344344345,1.84459152114091,1.24955344344345,0.0565721520929627,0.0599644712825322,"BOP-DMY"
"5","CHJ","DMY",39,1.3573,0.420000000000002,155.761960323813,0.0918009779095088,1.03931491642283,2.29487816784675,1.73920240416249,0.0359416928349208,0.257286078712591,0.328594523822563,0.255059209134731,0.569584527362904,0.388967630139124,0.569584527362904,1.05128372767061,0.547425910628092,0.85370832853397,1.10540397833414,0.547425910628092,0.85370832853397,0.277600649400488,0.85370832853397,0.0448961796438287,0.0470065962327386,"CHJ-DMY"
"6","DGR","DMY",737,2.40783,1.79375,312.435128211942,2.66517521368721,0.999798693455374,2.2144687028495,0.920941073500374,3.01666711753204,2.1354128998342,0.320920707524779,2.7397102109321,2.48520939549388,2.6765574671115,2.48520939549388,2.3376904951956,1.34906496691851,0.246363112351585,1.48101396951925,1.34906496691851,0.246363112351585,0.445477551036177,0.246363112351585,0.063393574143889,0.0676843254475259,"DGR-DMY"
"7","BOP","ICH",651,0.382690000000004,0.93853,93.1719875965751,2.63304865206299,2.53671649184559,0.98863505587895,2.96143684707888,1.4782847437062,3.29803206297489,3.31133782957981,2.02861297641211,3.08905647351787,1.99204584734647,3.08905647351787,0.258266253463977,2.39616668832195,2.08803943954012,2.91481149510854,2.39616668832195,2.08803943954012,1.69235349604763,2.08803943954012,0.0315044306787075,0.032529246056113,"BOP-ICH"
"8","CHJ","ICH",11,0.702559999999998,0.102860000000007,78.741709225694,0.4649243266999,0.267617996782779,0.626625378392909,1.8301341381703,0.147857696129839,0.845350957998329,1.05329591196848,0.0574536128224268,0.969395282310383,0.0938203434613791,0.969395282310383,1.4266994251554,0.0959838717742457,1.69219432463063,1.19907303781918,0.0959838717742457,1.69219432463063,0.429838674493774,1.69219432463063,0.0212920745831048,0.0217552898368889,"CHJ-ICH"
"9","DGR","ICH",687,0.347970000000004,1.27088999999999,118.72882446779,3.0382985624776,0.307134219750239,0.546215913395666,1.01187280750818,3.12858312082696,2.72347777911994,1.0456220956707,3.05222303288926,2.88502015044136,2.97170475378925,2.88502015044136,1.9622747977108,0.897622928064662,1.08484910844825,1.57468302900429,0.897622928064662,1.08484910844825,0.597715576129464,1.08484910844825,0.0385307903489749,0.0400749082364895,"DGR-ICH"
"10","DMY","ICH",50,2.05986,0.522860000000009,234.050121293308,0.373123348790391,1.30693291320561,1.66825278945384,0.090931734007802,0.111916003294918,0.588064879285739,0.724701388145921,0.312512821957158,0.399810754947479,0.295147286677745,0.399810754947479,0.375415697484795,0.451442038853847,0.838485996096663,0.0936690594850407,0.451442038853847,0.838485996096663,0.152238025093287,0.838485996096663,0.0246383800909617,0.0252607644057795,"DMY-ICH"
