Individuals	Populations
Cbp_0001	BOP
Cbp_0002	BOP
Cbp_0003	BOP
Cbp_0004	BOP
Cbp_0005	BOP
Cbp_0006	BOP
Cbp_0007	BOP
Cbp_0008	BOP
Cbp_0009	BOP
Cbp_0010	BOP
Cbp_0011	BOP
Cbp_0012	BOP
Cbp_0013	BOP
Cbp_0014	BOP
Cbp_0015	BOP
Cbp_0016	BOP
Cbp_0017	BOP
Cbp_0018	BOP
Cbp_0019	BOP
Cbp_0020	BOP
Cbp_0021	CHJ
Cbp_0022	CHJ
Cbp_0023	CHJ
Cbp_0024	CHJ
Cbp_0025	CHJ
Cbp_0026	CHJ
Cbp_0027	CHJ
Cbp_0028	CHJ
Cbp_0029	CHJ
Cbp_0030	CHJ
Cbp_0031	CHJ
Cbp_0032	CHJ
Cbp_0033	CHJ
Cbp_0034	DGR
Cbp_0035	DGR
Cbp_0036	DGR
Cbp_0037	DGR
Cbp_0038	DGR
Cbp_0039	DGR
Cbp_0040	DGR
Cbp_0041	DGR
Cbp_0042	DGR
Cbp_0043	DGR
Cbp_0044	DGR
Cbp_0045	DGR
Cbp_0046	DGR
Cbp_0047	DGR
Cbp_0048	DGR
Cbp_0049	DGR
Cbp_0050	DGR
Cbp_0051	DGR
Cbp_0052	DGR
Cbp_0053	DGR
Cbp_0054	DGR
Cbp_0055	DGR
Cbp_0056	DGR
Cbp_0057	DGR
Cbp_0058	DGR
Cbp_0059	DGR
Cbp_0060	DGR
Cbp_0061	DGR
Cbp_0062	DGR
Cbp_0063	DGR
Cbp_0064	DGR
Cbp_0065	DGR
Cbp_0066	DGR
Cbp_0067	DGR
Cbp_0068	DGR
Cbp_0069	DGR
Cbp_0070	DMY
Cbp_0071	DMY
Cbp_0072	DMY
Cbp_0073	DMY
Cbp_0074	DMY
Cbp_0075	DMY
Cbp_0077	DMY
Cbp_0079	DMY
Cbp_0080	DMY
Cbp_0081	DMY
Cbp_0082	DMY
Cbp_0083	DMY
Cbp_0084	DMY
Cbp_0085	DMY
Cbp_0086	DMY
Cbp_0087	DMY
Cbp_0088	DMY
Cbp_0089	ICH
Cbp_0090	ICH
Cbp_0091	ICH
Cbp_0092	ICH
Cbp_0093	ICH
Cbp_0094	ICH
Cbp_0096	ICH
Cbp_0097	ICH
Cbp_0098	ICH
Cbp_0099	ICH
Cbp_0100	ICH
Cbp_0101	JCH
Cbp_0102	JCH
Cbp_0103	JCH
Cbp_0104	JCH
Cbp_0105	JCH
Cbp_0106	JCH
Cbp_0107	JCH
Cbp_0108	JCH
Cbp_0109	JCH
Cbp_0110	JCH
Cbp_0111	JCH
Cbp_0112	JCH
Cbp_0113	JCH
Cbp_0114	JCH
Cbp_0115	JCH
Cbp_0116	JCH
Cbp_0117	JSN
Cbp_0118	JSN
Cbp_0119	JSN
Cbp_0120	JSN
Cbp_0121	JSN
Cbp_0122	JSN
Cbp_0123	JSN
Cbp_0124	JSN
Cbp_0125	JSN
Cbp_0126	JSN
Cbp_0127	JSN
Cbp_0128	JSN
Cbp_0129	JSN
Cbp_0130	MZS
Cbp_0131	MZS
Cbp_0132	MZS
Cbp_0133	MZS
Cbp_0134	MZS
Cbp_0135	MZS
Cbp_0136	MZS
Cbp_0138	MZS
Cbp_0139	MZS
Cbp_0140	MZS
Cbp_0141	MZS
Cbp_0142	MZS
Cbp_0143	MZS
Cbp_0144	MZS
Cbp_0145	MZS
Cbp_0146	MZS
Cbp_0147	MZS
Cbp_0148	MZS
Cbp_0149	MZS
Cbp_0150	MZS
Cbp_0151	MZS
Cbp_0152	MZS
Cbp_0153	NWS
Cbp_0154	NWS
Cbp_0155	NWS
Cbp_0157	NWS
Cbp_0158	NWS
Cbp_0159	NWS
Cbp_0160	NWS
Cbp_0161	NWS
Cbp_0162	NWS
Cbp_0163	NWS
Cbp_0164	NWS
Cbp_0165	NWS
Cbp_0166	NWS
Cbp_0168	NWS
Cbp_0169	NWS
Cbp_0170	NWS
Cbp_0171	NWS
Cbp_0172	TAB
Cbp_0173	TAB
Cbp_0174	TAB
Cbp_0175	TAB
Cbp_0176	TAB
Cbp_0177	TAB
Cbp_0178	TAB
Cbp_0179	TAB
Cbp_0180	TAB
Cbp_0181	TAB
Cbp_0182	TAB
Cbp_0183	TAB
Cbp_0184	TAB
Cbp_0185	TAB
Cbp_0186	TAB
Cbp_0187	MZS
